1001006;B110020821
1001108;B110020803
1001114;B110020866
1001148;B311005383
1001166;B110020889
1001183;B311011820
1001195;B311053447
1001202;B120046771
1001256;B110012892
1001260;B110020917
1001300;B110002277
1001376;B110020812
1001383;B110020814
1002124;B313031410
1002131;B110020805
1002195;B311004892
1002199;B110020705
1002253;B110020836
1002293;B110020829
1003010;B111011826
1003063;B314004623
1003111;B314034878
1003158;B311066103
1003216;B120058662
1003266;B110017337
1003376;B314007937
1003400;B314107086
1004063;B311006697
1004066;B311031018
1004088;B311037142
1004139;B110017325
1004145;B311016023
1004217;B311007568
1004264;B311046257
1004281;B311015100
1004333;B311067184
1004382;B311014229
1004475;B311001245
1004479;B313015281
1004488;B110017321
1004492;B110018589
1005014;B311017354
1005077;B311076801
1005091;B120058874
1005151;B311003681
1005158;B311028181
1005164;B311028195
1005241;B110018270
1005251;B311001496
1005253;B110018289
1005258;B111010897
1005268;B311075270
1005270;B110018292
1005306;B314017879
1005359;B311034949
1005367;B311008761
1005398;B311046188
1006071;B311015280
1006124;B110018456
1006139;B311023510
1006193;B314045989
1006202;B311010550
1006256;B110018235
1006262;B111011447
1006321;B110018205
1006334;B311001577
1006349;B110018276
1006479;B311047593
1007047;B311024461
1007116;B314008452
1007133;B311044706
1007174;B313004926
1007209;B110018202
1007336;B111010887
1007369;B111011803
1007419;B311012740
1007430;B111010898
1007444;B311048456
1007491;B311066364
1008085;B311033898
1008095;B311005415
1008153;B311049001
1008176;B311005982
1008365;B311035803
1008413;B311111356
1009109;B110018265
1009206;B110018573
1009274;B110018254
1009280;B314017373
1009284;B111011248
1009285;B311021895
1009357;B311046570
1009379;B311026760
1009428;B110018471
1009451;B311017169
1009457;B110019476
1009467;B311015240
1010067;B110018313
1010080;B110018500
1010156;B110037610
1010198;B111011258
1010207;B314006883
1010221;B110019493
1010239;B110019452
1010279;B110019475
1010291;B111011057
1010310;B314004783
1010329;B314001447
1010483;B311016897
1011070;B311011615
1011078;B311019359
1011102;B110018275
1011116;B311016564
1011124;B311000765
1011149;B311012425
1011259;B111010952
1012093;B111010559
1012143;B314017441
1012215;B111010573
1012407;B311012215
1014109;B311030486
1014121;B313072392
1014198;B311049193
1014301;B311049468
1014340;B311035087
1014466;B311051163
1014490;B111025593
1015007;B311017396
1015040;B110016598
1015049;B110041571
1015348;B121021500
1015359;B311013251
1015386;B311126211
1016058;B110016558
1016150;B110016685
1016218;B120063376
1016231;B311052494
1016306;B110016599
1016435;B110034003
1016460;B110016925
1017008;B111010168
1017063;B111023964
1017094;B311006918
1017216;B110016614
1017301;B111009902
1017318;B311012152
1017367;B311023212
1017413;B111010153
1017460;B311009459
1017490;B160002139
1018011;B311000637
1018017;B311032908
1018036;B311005171
1018056;B311038177
1018064;B311000605
1018109;B110018458
1018126;B311007476
1018146;B311065329
1018163;B314085826
1018170;B311065107
1018181;B311072375
1018188;B311005882
1018233;B311046401
1018247;B110014929
1018255;B110040119
1018270;B110036982
1018292;B110015108
1018293;B110016054
1018299;B311034829
1018318;B311031776
1018324;B311025732
1018331;B110015990
1018345;B110015419
1019002;B110014804
1019013;B111022180
1019035;B314086005
1019081;B311065211
1019088;B111011254
1019102;B311066031
1019106;B111009530
1019124;B311058423
1019143;B311029133
1019144;B311020857
1019180;B311040969
1019206;B110014899
1019227;B110043542
1019234;B311051873
1019239;B311023813
1019244;B311084494
1019247;B311037013
1019257;B311015828
1019260;B111009655
1019311;B110038533
1019314;B110014802
1019320;B311002174
1019343;B311033669
1019369;B311000396
1020028;B110014922
1020052;B110034449
1020057;B110014992
1020062;B110015005
1020067;B311030267
1020068;B311035769
1020098;B110018323
1020129;B311005429
1020167;B311060071
1020175;B110018358
1020177;B311015473
1020191;B315000214
1020215;B110015989
1020246;B110036703
1020251;B311054961
1020293;B111009721
1020302;B110016569
1020333;B311007451
1020337;B311004810
1020370;B311019652
1020390;B111010155
1021003;B311061936
1021043;B110014846
1021045;B311002110
1021053;B110019525
1021125;B311010294
1021126;B311022217
1021151;B110014918
1021278;B313003645
1021308;B110015407
1021319;B311024430
1021332;B111009387
1022006;B110014889
1022016;B110014978
1022018;B110018225
1022023;B313010233
1022042;B311036824
1022056;B311000195
1022057;B311001207
1022075;B111022099
1022077;B311070791
1022096;B110041799
1022150;B311014270
1022163;B311021127
1022164;B110015498
1022202;B311031135
1022219;B110015033
1022221;B110019513
1022222;B111009400
1022232;B311017195
1022241;B110016670
1022286;B110018361
1022297;B311046666
1022305;B311096152
1022318;B110014948
1022356;B311032854
1023031;B311065241
1023033;B110015092
1023037;B111009910
1023048;B311034746
1023095;B312016231
1023202;B311067658
1023213;B110015408
1023245;B311025799
1023283;B311022114
1023308;B311018971
1023309;B111011437
1023314;B110015499
1023349;B311025711
1024032;B111004229
1024284;B111012058
1025001;B111003862
1025012;B110036515
1025037;B110036518
1025054;B110006049
1025082;B311021464
1025115;B111003607
1025121;B311016288
1025194;B311007851
1025221;B110006520
1025291;B111003884
1025319;B311003932
1025331;B311005071
1025395;B110013325
1025404;B311005117
1025423;B111009204
1025432;B311007716
1025444;B111003641
1025446;B314075361
1025451;B111005133
1025465;B311046726
1025478;B311014876
1025499;B110006091
1026061;B314098199
1026064;B313003600
1026096;B314090079
1026097;B313005817
1026098;B111003564
1026142;B111003561
1026168;B314076252
1026181;B311033165
1026199;B314003457
1026252;B111014702
1026270;B311013015
1026347;B311014755
1026362;B311014968
1026364;B311036136
1026377;B111021157
1026396;B311001528
1026398;B111009193
1026401;B110051554
1026429;B110006566
1026433;B110006189
1027099;B111008118
1027138;B110045991
1027153;B311006611
1027194;B312011541
1027276;B111023528
1027279;B313004983
1027324;B111009274
1027343;B311038310
1027412;B110040607
1027466;B110014672
1028016;B110002224
1028017;B111000525
1028022;B311010622
1028089;B111001715
1028090;B311119457
1028095;B311007539
1028101;B110003938
1028102;B110001540
1028113;B111000530
1028118;B311031220
1028121;B110000924
1028136;B311114781
1028140;B110005380
1028178;B311034397
1028183;B110004550
1028207;B311014579
1028219;B110001007
1028246;B110000173
1028264;B311010900
1028275;B110003470
1028288;B311025020
1028297;B110002570
1028321;B311016686
1028333;B311002416
1028336;B110003298
1028351;B110004906
1028360;B311052778
1028381;B110000666
1028386;B311004024
1028389;B311034452
1028397;B111002252
1028400;B311079348
1029057;B311005251
1029078;B111004872
1029100;B110005451
1029117;B311066809
1029122;B311002634
1029127;B311064550
1029145;B110004532
1029198;B311027252
1029204;B111001840
1029267;B311017215
1029277;B311009789
1029279;B311021712
1029284;B110002408
1029287;B311004429
1029288;B311016838
1029298;B311021254
1029308;B110000275
1030012;B110000954
1030013;B311077147
1030015;B110000215
1030017;B110001010
1030024;B311024300
1030030;B110000259
1030032;B110000019
1030034;B110003908
1030041;B313013859
1030064;B110001496
1030085;B110000248
1030091;B311006592
1030100;B311066528
1030120;B311003150
1030132;B311056967
1030134;B311017793
1030179;B110005350
1030190;B110003983
1030193;B311006108
1030199;B311061325
1030220;B311008776
1030236;B311029440
1030255;B110001080
1030267;B110001531
1030278;B311000922
1030279;B111001048
1030283;B110000660
1030332;B111002151
1030334;B110003970
1030335;B110000168
1030337;B311005603
1030347;B311000330
1030353;B311045212
1030384;B110002481
1031002;B110003985
1031020;B110000907
1031042;B314048673
1031066;B110002203
1031090;B110002523
1031103;B110003557
1031124;B311057386
1031125;B314007625
1031136;B110000927
1031137;B110000852
1031144;B311015791
1031146;B110000882
1031156;B313041771
1031200;B110003391
1031202;B311005243
1031216;B311034395
1031227;B110001696
1031235;B111000006
1031239;B314012484
1031264;B110001563
1031333;B111001181
1031397;B110045308
1032014;B110005364
1032018;B110003412
1032021;B311049139
1032027;B110000153
1032031;B311035918
1032064;B312102172
1032070;B111000514
1032083;B110004056
1032092;B110000361
1032132;B311004115
1032139;B311037941
1032148;B314006766
1032174;B311057948
1032198;B311000860
1032247;B110005560
1032300;B110032135
1032315;B110002631
1032345;B311007617
1032407;B111000747
1032410;B111000170
1032431;B110003337
1032433;B110002200
1032439;B311010184
1032456;B311044425
1032502;B110002234
1032511;B311041788
1032521;B311012116
1032540;B110003927
1032550;B110002252
1032579;B311034756
1032593;B110003430
1033004;B314038242
1033020;B311011779
1033077;B311076697
1033079;B311052719
1033080;B311047889
1033085;B311017358
1033099;B110001484
1033104;B311054561
1033113;B311030321
1033124;B311058393
1033150;B311013953
1033153;B110000157
1033169;B311010859
1033172;B110000023
1033196;B311011397
1033202;B311074016
1033244;B311018541
1033245;B311095783
1033258;B110000166
1033259;B311053674
1033261;B110002506
1033289;B111000067
1033301;B111000711
1033365;B111000053
1033377;B110003203
1033420;B311018462
1033456;B311027492
1033463;B311052898
1033468;B311049827
1033469;B311008351
1033473;B111001304
1033478;B311014822
1033481;B311000965
1033494;B110003344
1033497;B311035544
1033500;B311027159
1033504;B110049432
1033521;B311007234
1033533;B311024336
1033589;B311065921
1033609;B110042092
1033631;B311006498
1033637;B311030632
1033649;B311002772
1034009;B110001482
1034015;B110000268
1034023;B311027825
1034042;B311005059
1034046;B311000363
1034081;B311004838
1034108;B311067353
1034115;B110003243
1034126;B111001819
1034189;B110001501
1034199;B311002944
1034253;B311021886
1034274;B110000217
1034285;B111001853
1034289;B311008165
1034294;B110000656
1034315;B311016805
1034325;B111001615
1034332;B311023980
1034333;B110003671
1034335;B311021278
1034340;B110003237
1034348;B110004453
1034349;B110001631
1034375;B314010547
1034397;B110001462
1034413;B313041825
1034428;B311039388
1034446;B311050633
1034454;B110000302
1034460;B110003033
1034464;B110001603
1034482;B110000226
1034508;B311105973
1034509;B311012061
1034514;B311036440
1034543;B110000893
1034557;B110002476
1034589;B110000185
1034597;B311004780
1034627;B111001025
1035038;B313053448
1035109;B311016949
1035114;B311053851
1035120;B110041951
1035138;B111000710
1035148;B110003918
1035159;B110004482
1035178;B311002873
1035208;B311037318
1035210;B110002409
1035303;B110004216
1035322;B110003399
1035326;B110000678
1035335;B110002500
1035348;B311036632
1035350;B110005029
1035359;B314051723
1035364;B110000992
1035365;B311083533
1035370;B110000260
1035386;B110004057
1035402;B110000262
1035411;B311004911
1035418;B111000370
1035424;B111002271
1035437;B311061818
1035458;B311045781
1035463;B110002221
1035502;B110002490
1035533;B110005152
1036024;B311035213
1036025;B110002183
1036042;B110000313
1036043;B311030896
1036101;B311094257
1036116;B111002248
1036117;B311071660
1036130;B110002160
1036132;B111003273
1036137;B110000341
1036149;B110005316
1036186;B111001806
1036188;B311005265
1036201;B311052666
1036227;B111024111
1036228;B110002401
1036238;B311001958
1036241;B110005502
1036296;B311054915
1036361;B110036169
1036368;B311002062
1036391;B311004060
1036394;B311016945
1036397;B311099901
1037007;B311049729
1037014;B311011682
1037024;B110002486
1037043;B311068683
1037054;B110004465
1037055;B311082581
1037063;B311065847
1037073;B111003006
1037136;B311044664
1037172;B311025590
1037187;B110003926
1037208;B110003967
1037233;B312047309
1037234;B311024906
1037254;B110005351
1037259;B311026715
1037317;B311045072
1037337;B110000978
1037352;B311034671
1037369;B311111953
1037371;B311005631
1037376;B311017123
1037378;B311000611
1037381;B110005345
1037384;B311061484
1037386;B110004358
1037405;B110000032
1037427;B110003413
1037434;B311004900
1037445;B110003340
1037460;B311068510
1037465;B311007917
1037521;B110047207
1037527;B110001453
1037528;B311001275
1037559;B311053793
1037562;B311037074
1037587;B311008392
1037596;B110001655
1037609;B311017016
1037611;B110002196
1038003;B110003467
1038017;B110005030
1038019;B110001504
1038022;B110000064
1038028;B311002554
1038053;B111000066
1038071;B311009654
1038074;B313040840
1038080;B311045218
1038107;B311082273
1038124;B110005302
1038129;B110002253
1038133;B110002223
1038166;B110005336
1038173;B311009307
1038212;B311000476
1038231;B311010683
1038242;B111001834
1038248;B311003428
1038283;B110000312
1038349;B110000960
1038356;B111002153
1038360;B311015236
1039012;B311026138
1039049;B311002618
1039062;B311011721
1039082;B311003041
1039089;B110000860
1039106;B110000200
1039107;B110001614
1039140;B311020576
1039141;B311012062
1039144;B110003317
1039149;B110004459
1039150;B110001695
